
date,tv_spend,radio_spend,social_spend,search_spend,price,promotion,holiday,sales
2023-01-02,119646.91855978617,39318.83638809848,86116.78673279312,21929.81573269318,11.74482856309694,0,0,263706.9285243994
2023-01-09,78613.93349503794,59693.860199974624,24909.71306227763,26745.074359201037,11.776114287323878,0,0,238101.15089291768
2023-01-16,72685.14535642031,70790.37351624331,99229.93018445907,28123.556981845202,12.468925148680853,0,0,244139.81329142107
2023-01-23,105131.47690828913,53195.4406878028,71871.65908905052,47294.02646168326,11.821668469463328,0,0,264387.22176190035
2023-01-30,121946.89697855631,71267.14925147028,62586.76941999191,33499.749899180104,11.05241220346034,0,0,337526.0984657517
2023-02-06,92310.6460124461,43090.26867654566,98818.71736014655,47930.094864725645,12.043865231933289,0,0,224899.624119514
2023-02-13,148076.41983846156,39007.273827102785,61156.922320883714,32241.390150605872,11.98315538422953,0,0,259985.0456771539
2023-02-20,118482.97385848634,41255.880535500706,68102.62755051535,30022.456833964046,12.089875782885658,0,0,242015.954840435
2023-02-27,98093.1901484361,30264.909752305943,38162.88426738247,10141.288438649934,11.479918559510258,0,0,262876.18616390706
2023-03-06,89211.75181941506,69746.75807011343,52131.889950642864,29235.561754998485,12.859517340542252,0,0,230811.63771232317
2023-03-13,84317.80161508695,40320.2507548596,104553.29965625687,47098.19994250607,11.838070108107328,0,0,267035.399077103
2023-03-20,122904.97073840415,53142.204517644386,38690.374892671534,17934.627561068766,11.905851570753166,0,0,223435.73999151282
2023-03-27,93857.22446796244,54713.08808652998,61729.10609033441,12083.645375579956,11.54999571509542,0,0,270577.24279333267
2023-04-03,55967.789660956834,51291.98356383994,118903.45073952994,26271.155738954738,11.534498998062638,1,0,314686.2210640027
2023-04-10,89804.42553304315,20161.28387445924,43659.98117055194,24895.85922376448,11.388631520125607,0,0,253549.5648264887
2023-04-17,123799.54057320357,79300.7251569692,111683.23329388289,44286.12231484975,11.803344574109422,0,0,291878.4533173608
2023-04-24,68249.17304535,74320.49453969659,111839.7467805633,11064.444622398381,11.521209080621682,0,0,252877.53586768295
2023-05-01,67545.17561474926,32458.15167177947,29129.634220320182,46805.96919036019,13.028233670612611,0,0,174568.516195512
2023-05-08,103155.13738418384,37549.364767545485,66365.27248855159,37236.119959798256,11.055753809806593,1,0,351396.74947829207
2023-05-15,103182.7587096866,51200.60918434901,70221.6335322787,46169.03976256871,11.435834725909103,0,1,345417.4807235579
2023-05-22,113440.09585513211,74114.68235964022,51366.89500521275,34301.162832825554,11.799292785771492,0,0,270211.6964024536
2023-05-29,134943.17940777895,79017.8530947034,24733.9537237737,42478.132497444974,12.336745639049163,0,0,230903.34122615983
2023-06-05,122445.53248606353,35452.523849244986,44168.56372453978,23421.754941571446,11.793121559309968,0,0,245863.04417769087
2023-06-12,111102.3510677583,53861.5425754869,29552.96415553609,23982.64912110239,12.337981696501489,0,0,199740.0415230696
2023-06-19,122244.33825702214,68418.12104823075,43824.99057124117,25594.969213131695,11.50659805535484,0,0,255842.72244087572
2023-06-26,82295.89138531781,43662.20323716649,100779.10862901561,40191.88326291133,12.029645566947353,0,0,230580.07255007068
2023-07-03,86178.86556223141,63864.382150673424,109497.82878860117,24771.646977145912,12.872020543505418,0,0,199561.2356237461
2023-07-10,72826.32308789557,29664.140865752892,24322.28920796468,19688.79225969069,11.516127802150262,0,0,290784.62915319065
2023-07-17,79371.40463888293,56041.914070015395,50194.68362627189,47506.734271623835,12.209783837947697,0,0,218182.033068224
2023-07-24,113097.61238544877,71951.86749819588,118058.21985942876,46320.4433465216,12.10346375964163,0,0,248069.63048138673
2023-07-31,59210.49399450752,79011.29655221333,73950.48225537353,23951.89264347964,10.874232507006065,0,0,253796.2308634129
2023-08-07,93370.11726795282,24761.947422680943,82630.93617098562,35385.52281032189,11.70551472676466,0,0,267886.0941580686
2023-08-14,93086.2763329644,45700.836482056955,20554.540840690453,20953.68846612303,12.565575952652996,0,0,173349.57424712513
2023-08-21,99368.50976503063,32272.571572785666,68490.94434425593,18244.605148542763,12.067538836242349,0,0,215985.9200419658
2023-08-28,92583.0290295828,47038.18943112409,118832.85346223874,23453.581159871777,11.393865518551967,0,0,296849.10336724325
2023-09-04,81226.12229724652,52865.81435773124,57518.552748279806,23083.995704620047,12.345388636457821,0,0,177480.32145458725
2023-09-11,92635.13069628082,25599.602622189246,29703.81586388612,45291.04404786465,11.760438527342824,0,0,251150.6673289806
2023-09-18,139338.9163117135,37811.64652884077,66190.87615684484,42892.152588949015,12.180025364040418,0,0,259222.7982590091
2023-09-25,144416.001820388,75655.05440912885,116300.44659922582,38384.929142363915,12.188460057218816,1,0,344869.6262708098
2023-10-02,100183.66758843364,54140.22388581172,54183.06135650164,48373.80901035588,11.440652199427214,0,0,256318.71457477464
2023-10-09,112395.29517921111,47444.719851416725,99892.27332150131,26901.734124322324,12.39491401736715,0,0,216082.0754700607
2023-10-16,61561.83950792957,65211.55944788687,99884.6331213062,19801.32154222705,11.496245599382412,0,0,300307.0346778139
2023-10-23,81728.54818203209,64511.72911052224,40824.82967389366,14695.93748765957,11.34710706682918,0,0,266738.87670267595
2023-10-30,91482.62119536319,22914.741970656127,64336.77018012118,22042.134328047992,11.558585506138982,0,0,242310.12754595507
2023-11-06,136630.9157883366,62521.84372656476,91560.12751543047,15810.54935881815,11.826954983068402,0,0,245946.84645864353
2023-11-13,75045.53653965067,70354.60086830502,61051.97854139278,13687.443894734803,12.054701578220632,0,0,214124.19045444584
2023-11-20,98303.42642627044,29956.27305241723,39100.69553704211,34117.28786827693,11.61370813381378,0,0,247896.6808754221
2023-11-27,148555.97856107051,66859.87627999744,116749.43068064185,24567.497990257878,12.372409656197558,0,0,263035.9100525642
2023-12-04,101948.51192598094,37192.197003746114,85075.03664762933,32582.813703845743,12.125732092021797,0,0,255791.9565298145
2023-12-11,111289.45257629677,38388.18519977344,106545.98515228994,17653.428828822263,11.652600892447248,0,0,239099.54304183644
2023-12-18,62062.86659903238,59915.68792098098,22524.23577996437,37076.23438611043,12.444496458797428,1,0,275438.7919522903
2023-12-25,132634.08005068335,26683.530296462945,46690.581479113476,18620.217891026394,12.580534178823243,1,1,313717.3661622438
2024-01-01,110306.01284109274,59892.34692819766,70207.11003267427,21120.943749761445,11.950657651595243,0,0,262866.06925113616
2024-01-08,104506.8006466465,73271.40756057335,26744.86351300517,39670.41688579507,11.892508477518055,0,0,247266.440685936
2024-01-15,84276.38337743084,61778.67609412438,119303.32610947917,32389.51582578848,11.113114323371825,0,0,300310.6336465936
2024-01-22,80412.07890271841,46419.67259992455,43646.23961980289,23393.456514680773,11.796243703804265,0,0,241146.99022419564
2024-01-29,91702.22110247017,46292.863062633485,57429.21823454481,31719.55130180774,11.854246643717318,0,0,203651.71689485607
2024-02-05,118130.07657927966,65905.7657143584,41401.19149083463,37759.388114329704,12.122689703629845,0,0,242725.4339063729
2024-02-12,137545.68417951747,53938.52007355297,30544.58661054508,46485.284859105166,11.915786784184764,0,0,229662.30825513817
2024-02-19,101042.2337478011,25094.249791509057,43247.97856042357,33228.528535778154,12.122013469070247,0,0,246311.3685595064
2024-02-26,116931.37829622722,54960.26527168428,50061.013550320466,19307.455155715237,12.767045144651933,0,0,190515.68578437297
2024-03-04,108593.6552562213,68890.62217360458,83444.22678994392,39867.90523105986,11.735042950683162,0,0,253180.20724422525
2024-03-11,112490.35020955998,40223.9830068566,48123.47814529085,41110.7607021883,11.754513858717077,0,0,256680.42560982256
2024-03-18,117468.90509878249,75654.59477452337,56227.67609765762,18016.05259850616,11.345417342848709,0,0,290378.31645933265
2024-03-25,134234.24376202573,65043.02002059008,20594.28437235298,42822.968787115446,11.995669766629208,0,1,296601.99338951195
2024-04-01,58319.49883324387,54443.829508997864,56571.91259273645,28597.39418891306,12.488406491234805,0,0,242191.78313051525
2024-04-08,126368.28414433381,65098.6393275751,73388.59816982946,41190.666483557805,11.124464825403816,1,0,390895.8670887973
2024-04-15,74366.6374536874,24748.937644292313,36201.58370505309,19499.128799530637,11.667071516490306,0,1,328760.4364007549
2024-04-22,69422.29605787709,71563.34454083668,79743.31083603749,23303.210788707056,12.01797025125196,0,0,234429.07383642884
2024-04-29,107245.6957491473,69290.24679203349,49315.24686271793,48147.88477166611,12.425051441762218,0,0,198905.7357749092
2024-05-06,59571.25166123871,74592.29957661254,83205.04948017279,36312.6029259922,12.191435119513432,0,0,256995.66624695243
2024-05-13,138532.68262751398,27717.871850562802,22619.66052508438,40915.11322006167,12.162731814091066,0,0,228343.85846056393
2024-05-20,112724.89720512686,24906.805225639113,108759.3460467775,37534.97372882516,11.887843607014549,0,0,255087.01107200354
2024-05-27,122341.63581899548,28304.934366895388,21611.86304233739,18172.16471393731,12.240937128509358,0,0,236370.07769403368
2024-06-03,51612.920669501684,43962.722606168005,32695.803103596136,28827.549937861702,12.50715194176673,0,0,170601.05128313295
2024-06-10,109443.18794450424,45458.41166485951,97716.24615706023,42358.55490847141,11.145504111725398,0,0,326330.20612497494
2024-06-17,105678.51923942888,53733.10272385434,24589.52322021706,37001.405076374875,12.364267700417567,0,0,240682.62487317144
2024-06-24,65895.96441447227,27334.612977950303,91099.86935955101,10241.115426131917,11.950620097066643,0,0,240286.07479736334
2024-07-01,65307.051512477316,32083.970082882253,117104.61405101289,13496.309706112912,11.735005567892744,0,0,266368.69354251423
2024-07-08,119552.95287709108,68698.66089704129,107168.29331423073,23871.788808542377,10.778462107060342,0,0,325259.4775433476
2024-07-15,81876.64263818764,48079.25444340496,91016.16513206986,47774.6215847436,11.30982433817285,0,0,283298.15730892157
2024-07-22,119197.02955318196,68476.2925690166,115850.97430216668,29647.619238983338,12.849029496123626,0,0,206817.91027292225
2024-07-29,105438.32497177721,20445.58271267678,62981.333788658194,20807.050697213348,11.655725733768223,0,0,239344.89295467248
2024-08-05,88895.05741231446,53095.563558944326,107287.89143218072,24416.948778148395,11.45761561437346,0,0,277585.6350820977
2024-08-12,142513.2489613986,75915.92888460068,55595.766797361466,18426.10510216253,11.771787021928203,0,0,269802.7675152172
2024-08-19,134166.99969127163,54930.52754875221,112976.36529038468,26848.002286800503,11.627426389070703,0,0,295634.8000773423
2024-08-26,85739.75666831763,32365.74364671645,34877.76562421036,18721.41758197898,12.062179316309457,0,0,231772.73350998203
2024-09-02,54359.14637990406,63065.45373677346,114002.90149282735,43830.10029211711,12.758486839123306,0,0,189981.14831688892
2024-09-09,80476.80734110974,42739.15098193506,103271.61972832127,28250.823961662514,11.706692024573893,0,0,225102.2762966986
2024-09-16,89818.56819179811,60103.03683556759,104605.48381964641,21192.08073743081,12.077145025275936,0,0,238421.35290241463
2024-09-23,120495.88304513623,21759.183373626274,32392.300992394434,47315.66592565927,11.426381429379882,0,0,271210.8077127879
2024-09-30,149535.84820340175,58154.02156108136,79648.6898341737,22574.05414516787,12.760083221103265,0,0,213865.6364802001
2024-10-07,85591.48657174595,21931.87609627544,21639.24808759314,46388.586481733524,12.094521721207055,1,0,259265.59111226985
2024-10-14,126254.78137854338,64686.839308505965,92118.43660506068,11736.723638811081,11.45909043835469,0,0,297477.1563672703
2024-10-21,109317.69165622212,48374.78013430731,20773.751412590398,38284.60241070705,12.452153110067322,0,0,240028.69554488768
2024-10-28,119170.1798700177,27305.26132838322,28482.227744523363,29355.561561385053,12.599993824291307,0,0,192221.18838609496
2024-11-04,65112.74523480802,52558.15554731036,42549.84104500236,27768.84245311921,12.080728181703817,1,0,305037.69706499047
2024-11-11,89887.62927261565,24006.46659350028,107512.45338732247,11452.933774079263,11.180301516229612,0,0,297384.7651182992
2024-11-18,74085.58977236245,59201.89228118244,56357.63179876134,11627.327619655245,12.892584406758237,0,0,189506.87071245702
2024-11-25,84345.60140483249,79765.17964206953,73995.99352125585,23310.14468247764,12.155061260313262,0,0,216817.9170809024
2024-12-02,101312.81541990022,66163.84022443774,76810.32138189784,47884.78159629733,12.585227148680726,0,0,254381.84635373196
2024-12-09,116662.45501640717,54426.44681952947,42546.336030595994,34706.39908458765,11.72455339744143,0,0,266669.3769244024
2024-12-16,60590.84850568138,26158.11555264775,77214.67679844612,24754.993667237075,11.80068803763305,0,0,236441.24568076292
2024-12-23,63089.495066408075,61990.044486374885,86095.17950296032,34479.08156219622,12.055226554645282,0,0,253563.17779833626
